MUN_NAME,SETT_NAME,SETT_TYPE,CP,No. De Manzanas,OBJECTID,POSTALCODE,ST_NAME,AREA,Shape_Leng,Shape_Area,Columna1
LA MAGDALENA CONTRERAS,UNIDAD INDEPENDENCIA IMSS,UNIDAD HABITACIONAL,10100,1,12410,10100,DISTRITO FEDERAL,700029324,0.012584421,7.68E-06,
TL?HUAC,TEZONTITLA,CAMPAMENTO,13429,1,12647,13429,DISTRITO FEDERAL,720607723,0.003263287,4.56E-07,
TL?HUAC,DEPORTIVA CET 1,COLONIA,13430,1,12650,13430,DISTRITO FEDERAL,720607723,0.026398499,3.84E-05,
TLALPAN,FAROLES DEL PEDREGAL,FRACCIONAMIENTO,14018,1,12694,14018,DISTRITO FEDERAL,700029214,0.010926835,3.78E-06,
TLALPAN,EQUIPAMIENTO COLEGIO MEXICO,COLONIA,14340,1,12785,14340,DISTRITO FEDERAL,700029214,0.012248672,8.29E-06,
TLALPAN,EX EJIDO DE HUIPULCO,COLONIA,14380,1,12805,14380,DISTRITO FEDERAL,700029214,0.016641667,1.47E-05,
TLALPAN,IXTLAHUACA,PUEBLO,14500,1,12870,14500,DISTRITO FEDERAL,700029214,0.004438847,9.89E-07,
XOCHIMILCO,ANAHUAC,BARRIO,16034,1,13036,16034,DISTRITO FEDERAL,713731114,0.002880341,1.97E-07,
XOCHIMILCO,ARCADA,UNIDAD HABITACIONAL,16057,1,13053,16057,DISTRITO FEDERAL,713731114,0.003329308,7.11E-07,
XOCHIMILCO,HACIENDA SAN PABLO,PUEBLO,16200,1,13073,16200,DISTRITO FEDERAL,713731114,0.006206051,1.78E-06,
XOCHIMILCO,ACUEDUCTO SIGLO 21,PUEBLO,16200,1,13076,16200,DISTRITO FEDERAL,713731114,0.003327324,6.68E-07,
?LVARO OBREG?N,EL CUERVO,COLONIA,1538,1,11260,1538,DISTRITO FEDERAL,711515239,0.003030108,5.53E-07,
?LVARO OBREG?N,EL CABALLITO,CAMPAMENTO,1856,1,11363,1856,DISTRITO FEDERAL,711515239,0.005075425,1.55E-06,
AZCAPOTZALCO,JARDINES DE CAYLAN,UNIDAD HABITACIONAL,2350,1,11425,2350,DISTRITO FEDERAL,700029112,0.006979123,2.97E-06,
COYOAC?N,AMERICA 143,BARRIO,4030,1,11555,4030,DISTRITO FEDERAL,700029346,0.004467162,3.87E-07,
COYOAC?N,MONSERRAT UNIVERSIDAD,PUEBLO,4330,1,11602,4330,DISTRITO FEDERAL,700029346,0.0036896,8.26E-07,
COYOAC?N,COPILCO IV,COLONIA,4369,1,11631,4369,DISTRITO FEDERAL,700029346,0.001460534,1.19E-07,
COYOAC?N,RESIDENCIAL COYOACAN,PUEBLO,4380,1,11638,4380,DISTRITO FEDERAL,700029346,0.002359885,3.00E-07,
COYOAC?N,DIVISION DEL NORTEL 3533,PUEBLO,4620,1,11671,4620,DISTRITO FEDERAL,700029346,0.003505491,7.01E-07,
COYOAC?N,RINCON DE TLALPAN,CONDOMINIO,4650,1,11676,4650,DISTRITO FEDERAL,700029346,0.002039557,2.33E-07,
COYOAC?N,CONJUNTO MAGDALENA,CONDOMINIO,4650,1,11679,4650,DISTRITO FEDERAL,700029346,0.001089339,7.40E-08,
CUAJIMALPA DE MORELOS,LA GAVIA,COLONIA,5310,1,11772,5310,DISTRITO FEDERAL,711515242,0.002848817,2.30E-07,
GUSTAVO A MADERO,5 DE MAYO,COLONIA,7200,1,11890,7200,DISTRITO FEDERAL,700518396,0.001746689,1.83E-07,
GUSTAVO A MADERO,LUIS E RODRIGUEZ OROZCO,UNIDAD HABITACIONAL,7249,1,11906,7249,DISTRITO FEDERAL,700518396,0.00217317,2.93E-07,
GUSTAVO A MADERO,RESIDENCIAL NIZA,BARRIO,7320,1,11932,7320,DISTRITO FEDERAL,700518396,0.003793643,7.63E-07,
